Referensområde,ÖP-zon,befolkning,ha,E-tal,Kommentar,ort,Område,Täthet lika område
Söderstaden,C staden,2610,35,,Kvartersstad – mellanstor stad,,,
Kolla,C-nära staden,4436,20,,"Flerb, radhus, fril blandat",,,
Tölö Ängar 2,Yttre staden,1632,15,,Trädgårdsstad,,,
,,0,0,,,,,
Särö C,C-ort,572,175,,,,,
Sandlyckan,C-nära,728,4,,,,,
Må,"C-nära, ort",626,6,,,,,
,,0,0,,,,,
Innerstaden,"C staden,",1820,8,,"kulturmiljö, småstadskänsla",,,
,,0,0,,,,,
,,0,0,,,,,
,,0,0,,,,,
,,0,0,,,,,
,,0,0,,,,,
,,0,0,,,,,
,,0,0,"0,8",Kvartersstad,Kungsbacka stad,Centrum och stadsdelscentrum,"Valand, Söderstaden"
,,300,0,"0,5","Flerb, radhus, fril blandat",,Centrumnära bostadsområde,Kolla
,,100,0,"0,15","Trädgårdsstad, gles",,Övriga staden,Tölö Ängar 2
,,0,0,,,,,
,,0,0,,,Åsa,Centrum och stationsområdet,Särö C (125 söder om vägen)
,,100,0,,,,Centrumnära och stationsnära,Tölö Ängar 2/Sandlyckan
,,40,0,,,,Yttre delar,Må
,,0,0,,,,,
,,200,0,,,Anneberg,Stationsområdet,
,,90,0,,,,Stationsnära,
,,40,0,,,,Yttre delar,
,,0,0,,,,,
,,90,0,,,Övriga orter,Centrum,
,,40,0,,,,Centrumnära,
,,0,0,,,,Yttre delar,
