,Område,Ha,Täthet lika område,Mark för näringsliv,inv,kommentar
C,Centrum,,,,,Planering pågår
1,Skantzes Ängar,"13,5",Må,,540,
2,Norra Åsa,14 ha,Tölö ängar 2,"3,5 ha - lokaler i BV",500,
3,Kläppa 2:2,"2,5 ha obebyggt",kolla,,200,Halva är bebyggd 100 boende
4,Åsa stationsområde,"10,5 ha",kolla,"6,5 ha – lokaler i BV",800,Dragit av för spår mm
5,Hammargårdsvägen,14 ha,Tölö ängar 2,,700,
6,"Norra Hulta,",9 ha,Må,,360,
7,Åsa berg,18 ha,,,,Planering pågår
I,Källegården,,Villaområde,,,
II,Hamragården norra,,,,,
III,Hamragården södra,,,,,
IV,Norra Kläppa,,,,,
V,Stockalid,,,,,
VI,Södra Kläppa,,,,,
VII,Östra Kläppa,,,,,
,,,,,,
,,,,,,
,,,,,,
